situacaoEmpresa,tipoEmpresa,cnpj,razaoSocial,endereco,bairro,municipio,uf,cep,telefone,motoristasHabilitados,rodoviarioAtivo,semiurbanoAtivo,fretamentoAtivo,codigoTAFfretamento,numLinhasAtivasRodoviarioInterestadual,numLinhasAtivasSemiurbanoInterestadual,numLicencasFretamento12mesesInterestadual,numLinhasAtivasRodoviarioInternacional,numLinhasAtivasSemiurbanoInternacional,numLicencasFretamento12mesesInternacional,numVeiculosTipoOnibus,numVeiculosTipoMicroOnibus,numVeiculosTipoSemiurbano,numVeiculosAtivosRodoviario,numVeiculosAtivosSemiurbano,numVeiculosAtivosFretamento,numViagensAcumAnoRodoviarioInterestadual,numViagensAcumAnoSemiurbanoInterestadual,numLicencasAcumAnoFretamentoInterestadual,numPassageirosAcumAnoRodoviarioInterestadual,numPassageirosAcumAnoSemiurbanoInterestadual,numPassageirosAcumAnoFretamentoInterestadual,numViagensAcumAnoRodoviarioInternacional,numViagensAcumAnoSemiurbanoInternacional,numLicencasAcumAnoFretamentoInternacional,numPassageirosAcumAnoRodoviarioInternacional,numPassageirosAcumAnoSemiurbanoInternacional,numPassageirosAcumAnoFretamentoInternacional,dataReferencia
ativa,nacional,05.759.208/0001-02,ELIEL MARTINS DA SILVA - ME,"RUA ARAGUARI, Nº 49 A.",BELA VISTA,,,38420000,34-96751299,6,não,não,sim,na.8198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43007
ativa,nacional,05.760.965/0001-04,MAGIC WORLD - TURISMO E TRANSPORTE LTDA - EPP,"RUA BERNARDINA BITTENCOURT MULLER, 201",VILA LALAU,JARAGUA DO SUL,SC,89256530,047-32762233,11,não,não,sim,429407,0,0,21,0,0,0,1,2,0,0,0,3,0,0,10,0,0,144,0,0,0,0,0,0,43007
ativa,nacional,05.761.667/0001-20,ROTA 3 TURISMO LTDA - ME,"AV AYRTON SENNA, Nº 1100",NOVA PARNAMIRIM,NATAL,RN,59151900,084-988164870,6,não,não,sim,240732,0,0,18,0,0,0,3,0,0,0,0,3,0,0,16,0,0,348,0,0,0,0,0,0,43007
ativa,nacional,05.768.137/0001-04,IVAIR CAETANO DO NASCIMENTO – ME,Rua J K - nº 20 - Centro,,ITABIRINHA DE MANTENA,MG,35280000,(33) 3247-1159,2,sim,não,não,na     ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43007
ativa,nacional,05.769.322/0001-13,SANTANATUR VIAGENS E TURISMO LTDA-ME,"RUA PEDRO VICENTE FERREIRA, N° 47-A",CENTRO,SANTANA DA VARGEM,MG,37195000,35-3858-1300,6,não,não,sim,318335,0,0,17,0,0,0,1,1,0,0,0,2,0,0,11,0,0,233,0,0,0,0,0,0,43007
ativa,nacional,05.769.928/0001-59,TRANSPORTES SOMER E ZENI LTDA,"RUA BRIGADEIRO ROCHA, 3147",CENTRO,GUARAPUAVA,PR,85035270,42-3622-1213,9,não,não,sim,417473,0,0,22,0,0,1,1,0,0,0,0,1,0,0,17,0,0,422,0,0,1,0,0,43,43007
ativa,nacional,05.773.519/0001-26,VIAÇÃO JAVARY LTDA - ME,"RUA NHÔ NHÔ VIANA, 100",GOVERNADOR PORTELA,MIGUEL PEREIRA,RJ,26910000,24-2484-3341,10,não,não,sim,333291,0,0,104,0,0,0,5,0,0,0,0,5,0,0,58,0,0,1960,0,0,0,0,0,0,43007
ativa,nacional,05.775.412/0001-17,GUIA - ME TUR TRANSPORTES EIRELI ME,"AVENIDA NILO PEÇANHA, 398 - SALA 302",CENTRO,DUQUE DE CAXIAS,RJ,25010144,21-2136524224,0,não,não,sim,332282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43007
ativa,nacional,05.779.593/0001-50,VANDERLEI DE BRITO TRANSPORTES EIRELI,"SATURNINO DE BRITO, 319",SANTA FE,SAPIRANGA,RS,93806064,51-9779-2700,3,não,não,sim,430756,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43007
ativa,nacional,05.784.168/0001-59,MENEGON TURISMO LTDA ME,RUA OSVALDO ARANHA 1165,CENTRO,SAO LEOPOLDO,RS,93010040,51-3037-7711,16,não,não,sim,437921,0,0,41,0,0,5,3,0,0,0,0,3,0,0,27,0,0,976,0,0,4,0,0,98,43007
